2.218117214372753665e+00,5.748458518091258129e-02,2.211181221896034166e-01,1.354087421637629185e-01
2.214501853742000925e+00,8.698352398351512360e-02,2.294977326598705569e-01,1.601861709373781362e-01
1.761231600335813718e+00,6.342121110331809530e-02,2.182045847919419079e-01,1.377842453494511621e-01
1.758569116777475516e+00,7.904132671313311709e-02,2.226265176713335125e-01,1.535335355642694355e-01
1.755445822944311951e+00,1.033409908221193801e-01,2.315193016589818797e-01,1.758290738836311706e-01
1.285951415151477928e+00,8.149990274594337558e-02,2.179443537418574717e-01,1.542348658435913900e-01
1.276724361492091564e+00,1.339601548541459464e-01,2.472601052378086972e-01,2.113680493672395189e-01
1.040570963083405021e+00,1.025925954958224057e-01,2.274766795531731889e-01,1.794698569383397779e-01
1.034585464388495968e+00,1.345923450526702314e-01,2.530885141025446816e-01,2.201503020788009302e-01
1.026835730910379496e+00,1.704821244423020687e-01,2.800549723876760710e-01,2.551834331762924957e-01
8.550350088134417437e-01,1.239545884517090496e-01,2.489351291203529548e-01,2.103182310926105525e-01
8.437571853158611912e-01,1.873392471406553628e-01,3.011713153676257582e-01,2.735612689883460402e-01
7.587845087433453539e-01,1.439962872537438598e-01,2.578185928074496758e-01,2.122260441778481554e-01
7.457798937418317342e-01,1.723522889977325001e-01,2.810383981359247385e-01,2.424599324849552318e-01
7.328892344997282038e-01,2.100429778199979780e-01,3.042240534073118452e-01,2.690086859555129717e-01
